lake_id,NAME,COUNTRY,MAX DISTANCE TO LAND (KM),LAT CENTRE,LON CENTRE,N PIXELS LSWT_mean,N PIXELS LSWT_std,N PIXELS CLIM_mean,N PIXELS CLIM_std,LSWT_spatial_mean,LSWT_spatial_std,PIXELS_PERCENTAGE_mean,PIXELS_PERCENTAGE_std,max_N_no_obs_consecutive_days,N_no_obs_consecutive_days_mean,N_no_obs_consecutive_days_std,longest_duration_days,Freq_Rank,N_obs_days_mean,N_obs_days_std,selection,Insitu-only flag,LIC-only flag,LSWT-only flag,UOR_selection_flag,UOR_LIC_with_insitu_flag,lake_cluster_flag,Form ice flag
88, Zeyskoye reservoir,Russian Federation,10.9,54.4347,127.7042,1395.7910447761194,1174.6223537578749,3950.2502266545785,571.9204693138487,0.7632540558079169,0.41785640829519444,30.010557832210694,25.255264540053183,182,6.5424354243542435,25.864244553905518,6793.0,3.0,134.0,12.195379154715638,1,0,1,0,0,0,,1
91, Nam lake,China,15.2,30.6958,90.4514,1153.3343081703529,896.4043305710911,2623.188980522899,296.3739886514532,0.40595503564247853,0.23396304452739491,42.184868623641286,32.78728348833549,85,2.8923988153998024,7.204478662916638,,,237.8695652173913,38.5902770936671,1,0,1,0,0,0,,1
109, Hung-tse lake,China,9.6,33.2847,118.7236,851.0072423398328,620.9292171665302,2079.5335284077055,54.55501729591017,0.42544791086350975,0.23527763089529374,37.588659113950214,27.426202171666482,77,3.5689910979228485,5.95199539066392,,,156.08695652173913,24.130164154733542,1,0,0,0,0,0,,1
133, Poopo lake,Bolivia Plurinational State of,12.1,-18.9903,-66.9625,764.3773339827894,622.8570929819955,2476.8928963462445,73.10039529992794,0.8019495047897385,0.3276139216600456,28.953686893287475,23.59307170386353,165,1.8792958927074601,5.582319908835839,,,267.7826086956522,46.2266712876876,1,0,0,1,1,0,,0
146, lake Saint Clair,"Canada,United States",13.0,42.4125,-82.7181,743.5638653302493,593.7375509460908,1808.303969931877,11.71562182968705,0.5496939090208174,0.2651388783132811,39.826666595085655,31.801689927482112,60,2.73167777104785,3.825076908651808,7886.0,2.0,169.17391304347825,21.493449686977662,1,1,1,0,1,1,,1
165, lake Champlain,"United States,Canada",5.8,44.4653,-73.3153,385.585103724069,355.83303924459534,1740.7160018132365,155.14013319347413,0.5213524118970257,0.28763586924235734,19.183338493734777,17.703136280825618,65,2.448525319977741,3.180744147041062,2312.0,1.0,173.95652173913044,29.2395719730977,1,1,0,0,1,0,,1
170, Selawik lake,United States,12.3,66.4764,-160.6569,1486.112970711297,1178.708365113147,3089.3319897398314,231.40317326846483,0.8004165081780145,0.6042404930247439,47.32843855768461,37.538482965386905,242,11.544,43.27031388839235,,,114.30434782608695,16.961010858084588,1,0,1,0,0,0,,1
171, lago Viedma,Argentina,9.0,-49.6958,-72.2014,1062.1537496077817,686.7033262144688,2174.8331539289557,3.0200288043700416,0.5666684970191402,0.25027057397304897,47.844763495846024,30.932582261913076,24,1.4406538734896943,1.1394566587682764,,,277.1304347826087,23.15227133531805,1,0,0,1,1,0,,0
174, Island lake,Canada,2.2,53.7903,-94.5014,138.1316889632107,121.050810969858,781.0674680108569,64.57611460448186,0.6048950668896321,0.366869268383706,8.703950155211764,7.627650344666535,189,6.063572149344097,22.887717744823128,,,104.0,9.811866655877834,1,0,1,0,0,0,,1
177, lake Imandra et al,Russian Federation,3.6,67.5653,32.8792,630.34410430839,671.5815428634686,2657.595025682617,842.8333331129529,0.70075,0.3622156088468811,18.923569627991295,20.161559377468265,137,4.829534192269574,16.01327125154292,6817.0,3.0,153.3913043478261,12.093345767723154,1,0,1,0,0,0,,1
198, lake Nipissing,Canada,9.0,46.2569,-79.5958,487.063497957668,398.975533433502,1348.3832081019275,68.72008558190629,0.5124433717044189,0.2898437919037094,32.976540146084496,27.01256150531497,157,4.537360890302066,15.60315548469652,8219.0,1.0,117.08695652173913,16.497694173534622,1,1,1,0,1,1,,1
223, lac Pipmuacan,Canada,3.0,49.5875,-70.4403,126.53465765004226,120.77142224249394,740.0182595182595,85.01714269374287,0.6463271344040575,0.39653942524144076,10.898764655473062,10.402361950257877,171,5.180257510729613,17.74686446155912,,,102.8695652173913,13.246969971987376,1,0,1,0,0,0,,1
227, Garry lake and Upper Macdougall lake,Canada,5.4,65.8847,-99.8542,551.9485546300833,546.3683952540343,2952.5100514258997,251.45728169091774,0.9695232729054386,0.5796210066460331,13.571393032458403,13.434187244997144,255,12.979591836734693,48.975416488699366,,,88.73913043478261,11.619800464975715,1,0,1,0,0,0,,1
236, lake Simcoe,Canada,8.4,44.4625,-79.3569,441.45186136071885,354.96891993317473,1228.3922241280732,66.87401432089709,0.48539730423620037,0.2696504259426062,34.67807237711853,27.884439900485077,116,3.6373021335168616,9.343040228159081,8305.0,2.0,135.47826086956522,22.03482690737426,1,1,1,0,1,1,,1
257, laguna de Caratasca and laguna Warunta,Honduras,6.0,15.2958,-83.7236,139.7766209181259,153.31790502874142,810.3981873111783,10.538868597805422,0.39014150496923805,0.21251739756101226,16.444308343308926,18.037400591616635,86,3.8341463414634145,5.113283025186201,,,91.8695652173913,11.545579035150942,1,0,0,1,1,0,,0
275, Clinton-Colden lake,Canada,3.1,63.9542,-107.4653,255.03763752171395,234.71725372612255,1124.6955161626695,75.00814138193779,0.8056670526925304,0.5295100588350263,17.13962617753454,15.774008986970593,248,10.593650793650793,41.000231795767036,,,75.08695652173913,15.10542660911893,1,0,0,0,0,0,N1,1
295, lake Taupo,New Zealand,9.6,-38.7958,175.9292,388.9248,288.0347297570694,932.3373791400946,2.4243576303432115,0.36695679999999997,0.23170742298489433,41.5074493062967,30.740099227008425,26,2.4669117647058822,2.2306099737425256,10308.0,2.0,190.2173913043478,45.63487155647844,1,1,0,0,1,0,,0
298, Kentucky lake,United States,2.1,36.4208,-88.0625,104.70485744456177,95.2405596444037,579.8940336328035,26.35369689380026,0.5180522703273495,0.2565996192053038,12.645514184125817,11.502483048840999,24,2.657258064516129,2.284624593337174,,,164.69565217391303,20.66933341628408,1,0,1,0,0,0,,1
310, lake Balaton,Hungary,6.0,46.9792,18.0736,390.16880691104365,293.81142334457223,998.3781795249107,1.0596839106413618,0.4411368199859911,0.21558308765796108,38.97790278831605,29.35179054391332,51,2.5834378920953576,3.425804612039204,11993.0,1.0,186.2173913043478,31.641394811427766,1,1,1,0,1,1,,1
311, Atlin lake,Canada,4.0,59.3625,-133.6875,296.1192917054986,276.32944382821273,1227.0405056018385,113.68331604650945,0.6297216526871698,0.3225267640817407,21.661981836539766,20.21429728077635,176,4.179032258064516,14.830065767769838,,,139.95652173913044,29.10713480304593,1,0,1,0,0,0,,1
314, lake Upemba,Congo The Democratic Republic of the,10.3,-8.6181,26.4125,442.62025316455697,226.64318997183972,728.0652828925344,8.261148464778836,0.2330940325497287,0.11302525239291214,60.22044260742272,30.83580815943392,240,10.839228295819936,35.796223974763286,,,72.1304347826087,22.905545870390284,1,0,0,0,0,0,N5,0
318, Keban dam,Turkey,3.9,38.6569,39.5069,181.35077519379846,107.97534978674469,666.6530837004406,10.580522234596993,0.5954245801033592,0.2829305231904461,21.360515334958592,12.717944615635457,19,2.132239382239382,1.8890262257820252,,,269.2173913043478,22.783479903687653,1,0,0,1,1,0,,1
319, South Henik lake,Canada,6.2,61.5347,-97.4069,421.76120249574586,374.4017494058281,1281.1415836392239,69.10647597913491,0.8189449801474757,0.610164009911703,30.966314427000434,27.489115228034375,248,10.917763157894736,43.08933285075151,,,76.65217391304348,13.89443543179713,1,0,1,0,0,0,,1
321, laguna Larga,Bolivia Plurinational State of,2.4,-12.7958,-65.7569,26.944408532643827,17.844904968467617,105.39909297052154,5.971985346372438,0.3057310924369748,0.1840934154117549,21.906023197271406,14.50805281989237,164,6.930232558139535,16.262824481242376,,,67.26086956521739,9.041406725345482,1,0,0,0,0,0,N3,0
327, lake Geneva/lac Leman,Switzerland,6.2,46.4569,6.5847,392.9216753926702,294.48110289741476,981.6020666796646,1.1882827983327302,0.4347962303664922,0.237799578320797,39.971686204747726,29.957385849177413,17,2.186972255729795,1.73692576068887,11902.0,5.0,207.6086956521739,30.923276214814425,1,1,0,0,1,0,,1
335, reservoir La Grande 4,Canada,3.6,53.8986,-73.2681,226.3213728549142,228.9327605227569,1134.8175252768417,106.09174566436212,0.7375491419656787,0.5149017202659378,14.452194946035393,14.618950224952549,201,6.733887733887734,25.73751792136276,,,83.6086956521739,11.134463821171643,1,0,1,0,0,0,,1
375, Flathead lake,United States,5.9,47.8653,-114.1181,327.7759064327485,237.79398489218298,850.1181858802503,8.300454045188086,0.47905801169590645,0.25606199421050224,37.762201201929564,27.39562037928372,30,2.6047979797979797,2.611479554627672,,,185.8695652173913,22.37552304685978,1,0,1,0,0,0,,1
380, lake Tahoe,United States,8.2,39.1181,-120.0542,430.04755784061695,228.6376056910162,753.276639023627,1.4108290222156632,0.3697014781491003,0.22731441807411723,56.734506311427054,30.16327251860385,18,1.7556451612903226,1.4802355097794644,19135.0,3.0,270.60869565217394,37.02055833088467,1,1,0,0,1,0,,1
395, Princess Mary lake,Canada,4.6,63.9542,-97.5319,330.2173403632103,312.18662352103826,1175.3105522143248,69.2025758362751,0.7586162858816637,0.4416636124711192,26.375186929968873,24.935033827558954,250,11.138103161397671,42.52499582926347,,,74.21739130434783,14.942181055774869,1,0,1,0,0,0,,1
423, lac Saint Pierre/Saint Peter lake,Canada,6.5,46.2014,-72.8236,239.25024826216486,164.65370525161023,577.5521636040309,37.94165289456547,0.47729195630585897,0.23880986125499193,36.638629136625546,25.214962519388948,104,3.662355343771273,8.38669438960038,,,131.34782608695653,18.514389233665046,1,0,1,0,0,0,,1
443, lago Cardiel,Argentina,8.0,-48.9264,-71.2125,344.7080658105939,195.85703247401443,639.6670590543457,0.7569664960505099,0.4385248796147672,0.23794423958334962,53.8606352829053,30.602661324064787,24,1.7965299684542586,1.4581900211015957,,,216.69565217391303,29.439359526458173,1,0,0,1,1,0,,0
463, Pulicat lake,India,6.1,13.5431,80.2069,134.3339292098677,105.52458390168837,448.042189281642,8.648405164341174,0.39742116553450124,0.19550138566753367,26.65355738291026,20.937417440811164,50,3.740987983978638,5.109449826406024,,,121.6086956521739,15.764572278702484,1,0,0,1,1,0,,0
488, Scutari/Skadarsko lake,"Albania,Montenegro",6.3,42.1931,19.2931,286.4052812858783,177.914186887527,591.34095349746,13.736841278649813,0.38808564867967854,0.19904743357161725,45.46115575966322,28.24034712500435,37,2.524017467248908,2.405263687116398,,,189.34782608695653,32.346994655471576,1,0,0,1,1,0,,1
492, Manukau harbour,New Zealand,5.5,-37.0542,174.7292,178.98907103825135,125.42677750511963,466.9761948699022,5.2823548031337415,0.5576044106167057,0.2541915006075696,34.223531747275594,23.98217543118928,31,1.931054802592811,1.60305641556405,,,222.7826086956522,23.788760756708637,1,0,0,1,1,0,,0
505, lago di Garda,Italy,5.2,45.5319,10.6542,258.20778334091943,174.88933465157714,609.8719840478565,1.4934916482175762,0.41482294037323625,0.2316090797444687,41.84891140047316,28.345110964599257,20,2.3175245806824756,2.0430133174768326,7476.0,2.0,191.04347826086956,33.67556203333315,1,1,0,0,1,0,,0
